ID,Actual,Predicted
1,"Communication Score (out-off 10): 7.0

","Communication Score (out-off 10): 7.0

"
2,"Communication Score (out-off 10): 7.0

","Communication Score (out-off 10): 7.0

"
3,"Communication Score (out-off 10): 3.0

","Communication Score (out-off 10): 3.0

"
4,"Communication Score (out-off 10): 3.0

","Communication Score (out-off 10): 3.0

"
5,"Communication Score (out-off 10): 7.0

","Communication Score (out-off 10): 7.0

"
6,"Communication Score (out-off 10): 7.0

","Communication Score (out-off 10): 7.0

"
7,"Communication Score (out-off 10): 5.0

","Communication Score (out-off 10): 5.0

"
8,"Communication Score (out-off 10): 5.0

","Communication Score (out-off 10): 5.0

"
9,"Communication Score (out-off 10): 9.0

","Communication Score (out-off 10): 9.0

"
10,"Communication Score (out-off 10): 6.0

","Communication Score (out-off 10): 5.0

"
11,"Communication Score (out-off 10): 6.0

","Communication Score (out-off 10): 6.0

"
12,"Communication Score (out-off 10): 7.0

","Communication Score (out-off 10): 7.0

"
13,"Communication Score (out-off 10): 5.0

","Communication Score (out-off 10): 5.0

"
