ID,Actual,Predicted,Input Token Count,Output Token Count
1,"Communication Score (out-off 10): 7.0

",SCORE: (7/10),3637,7
2,"Communication Score (out-off 10): 7.0

",SCORE: 9/10,3160,6
3,"Communication Score (out-off 10): 3.0

",SCORE: (6/10),3253,7
4,"Communication Score (out-off 10): 3.0

",SCORE: (4/10),3335,7
5,"Communication Score (out-off 10): 5.0

",SCORE: 8/10,3377,6
6,"Communication Score (out-off 10): 4.0

",SCORE: 8/10,3689,6
7,"Communication Score (out-off 10): 7.0

",SCORE: 8/10,3409,6
8,"Communication Score (out-off 10): 7.0

",SCORE: 7/10,3893,6
9,"Communication Score (out-off 10): 7.0

",SCORE: 8/10,3886,6
10,"Communication Score (out-off 10): 5.0

",8/10,4155,3
11,"Communication Score (out-off 10): 10.0

",SCORE (8/10),3956,6
12,"Communication Score (out-off 10): 6.0

",SCORE: 7/10,4472,6
13,"Communication Score (out-off 10): 5.0

",8/10,3341,3
14,"Communication Score (out-off 10): 5.0

",8/10,3377,3
15,"Communication Score (out-off 10): 9.0

",SCORE: 8/10,3327,6
16,"Communication Score (out-off 10): 8.0

",SCORE: 8/10,3430,6
17,"Communication Score (out-off 10): 7.0

",SCORE: 6/10,3139,6
18,"Communication Score (out-off 10): 7.0

",SCORE: 8/10,3276,6
19,"Communication Score (out-off 10): 8.0

",SCORE: 7/10,3162,6
20,"Communication Score (out-off 10): 7.0

",SCORE: 8/10,3378,6
21,"Communication Score (out-off 10): 6.0

",SCORE: (4/10),4188,7
22,"Communication Score (out-off 10): 6.0

",SCORE: 7/10,4524,6
23,"Communication Score (out-off 10): 4.0

",SCORE: (7/10),4116,7
24,"Communication Score (out-off 10): 3.0

",SCORE: (5/10),4136,7
25,"Communication Score (out-off 10): 5.0

",SCORE: (6/10),3767,7
26,"Communication Score (out-off 10): 6.0

",SCORE: (8/10),3679,7
27,"Communication Score (out-off 10): 6.0

",SCORE: (7/10),4153,7
28,"Communication Score (out-off 10): 6.0

",SCORE: 7/10,4605,6
29,"Communication Score (out-off 10): 7.0

",SCORE: 7/10,4847,6
30,"Communication Score (out-off 10): 5.0

",7/10,3926,3
31,"Communication Score (out-off 10): 6.0

",SCORE: 7/10,4314,6
32,"Communication Score (out-off 10): 7.0

",SCORE: 6/10,3149,6
33,"Communication Score (out-off 10): 7.0

",SCORE: 7/10,3743,6
