ID,Actual,Predicted,Input Token Count,Output Token Count
1,"Communication Score (out-off 10): 7.0

",SCORE: (7/10),5887,7
2,"Communication Score (out-off 10): 7.0

",SCORE: (7/10),3875,7
3,"Communication Score (out-off 10): 3.0

",SCORE: (5/10),4289,7
4,"Communication Score (out-off 10): 3.0

",SCORE: (3/10),4395,7
5,"Communication Score (out-off 10): 5.0

",SCORE: 8/10,4459,6
6,"Communication Score (out-off 10): 4.0

",SCORE: 8/10,4772,6
7,"Communication Score (out-off 10): 7.0

",SCORE: 7/10,4389,6
8,"Communication Score (out-off 10): 7.0

",SCORE: (8/10),5226,7
9,"Communication Score (out-off 10): 7.0

",SCORE: (4/10),5162,7
10,"Communication Score (out-off 10): 5.0

",SCORE: 8/10,5305,6
11,"Communication Score (out-off 10): 10.0

",SCORE: (6/10),5169,7
12,"Communication Score (out-off 10): 6.0

",SCORE: (7/10),5719,7
13,"Communication Score (out-off 10): 5.0

",SCORE: (6/10),4709,7
14,"Communication Score (out-off 10): 5.0

",SCORE: (8/10),4431,7
15,"Communication Score (out-off 10): 9.0

",SCORE: 7/10,5191,6
16,"Communication Score (out-off 10): 8.0

",SCORE: 7/10,4916,6
17,"Communication Score (out-off 10): 7.0

",SCORE: (4/10),4466,7
18,"Communication Score (out-off 10): 7.0

",SCORE: (6/10),4205,7
19,"Communication Score (out-off 10): 8.0

",SCORE: 7/10,4341,6
20,"Communication Score (out-off 10): 7.0

",SCORE: 8/10,4680,6
21,"Communication Score (out-off 10): 6.0

",SCORE: 8/10,4628,6
22,"Communication Score (out-off 10): 6.0

",SCORE: (8/10),4759,7
23,"Communication Score (out-off 10): 4.0

",SCORE: (7/10),4594,7
24,"Communication Score (out-off 10): 3.0

",SCORE: (7/10),4671,7
25,"Communication Score (out-off 10): 5.0

",SCORE: 8/10,4219,6
26,"Communication Score (out-off 10): 6.0

",SCORE: (4/10),4258,7
27,"Communication Score (out-off 10): 6.0

",SCORE: 7/10,4359,6
28,"Communication Score (out-off 10): 6.0

",SCORE: 6/10,4830,6
29,"Communication Score (out-off 10): 7.0

",SCORE: (7/10),6220,7
30,"Communication Score (out-off 10): 5.0

",SCORE: (6/10),5551,7
31,"Communication Score (out-off 10): 6.0

",SCORE: (5/10),5415,7
32,"Communication Score (out-off 10): 7.0

",SCORE: (6/10),4593,7
33,"Communication Score (out-off 10): 7.0

",SCORE: 7/10,5341,6
