ID,Actual,Predicted
1,"Overall Score (out-off 10): 7.0

","Overall Score (out-off 10): 7.0

"
2,"Overall Score (out-off 10): 6.8

","Overall Score (out-off 10): 6.8

"
3,"Overall Score (out-off 10): 4.0

","Overall Score (out-off 10): 4.0

"
4,"Overall Score (out-off 10): 5.5

","Overall Score (out-off 10): 5.5

"
5,"Overall Score (out-off 10): 7.0

","Overall Score (out-off 10): 7.0

"
6,"Overall Score (out-off 10): 7.8

","Overall Score (out-off 10): 7.8

"
7,"Overall Score (out-off 10): 5.0

","Overall Score (out-off 10): 5.0

"
8,"Overall Score (out-off 10): 6.8

","Overall Score (out-off 10): 6.8

"
9,"Overall Score (out-off 10): 8.8

","Overall Score (out-off 10): 8.8

"
10,"Overall Score (out-off 10): 6.0

","Overall Score (out-off 10): 6.0

"
11,"Overall Score (out-off 10): 6.0

","Overall Score (out-off 10): 6.0

"
12,"Overall Score (out-off 10): 7.3

","Overall Score (out-off 10): 7.5

"
13,"Overall Score (out-off 10): 7.5

","Overall Score (out-off 10): 7.5

"
