ID,Actual,Predicted,Input Token Count,Output Token Count
1,"Overall Score (out-off 10): 7.0

",SCORE: (7/10),11633,7
2,"Overall Score (out-off 10): 6.8

",SCORE: (7/10),7214,7
3,"Overall Score (out-off 10): 4.0

",SCORE: (5/10),7691,7
4,"Overall Score (out-off 10): 5.5

",SCORE: (3/10),7822,7
5,"Overall Score (out-off 10): 5.0

",SCORE: 8/10,8024,6
6,"Overall Score (out-off 10): 4.0

",SCORE: 8/10,8651,6
7,"Overall Score (out-off 10): 7.0

",SCORE: 7/10,7838,6
8,"Overall Score (out-off 10): 7.0

",SCORE: (8/10),9776,7
9,"Overall Score (out-off 10): 7.8

",SCORE: (4/10),9346,7
10,"Overall Score (out-off 10): 5.0

",SCORE: 8/10,9719,6
11,"Overall Score (out-off 10): 7.0

",SCORE: (6/10),9501,7
12,"Overall Score (out-off 10): 6.0

",SCORE: (7/10),10690,7
13,"Overall Score (out-off 10): 5.0

",SCORE: (6/10),8605,7
14,"Overall Score (out-off 10): 6.8

",SCORE: (8/10),8140,7
15,"Overall Score (out-off 10): 8.8

",SCORE: 7/10,9552,6
16,"Overall Score (out-off 10): 8.0

",SCORE: 7/10,9067,6
17,"Overall Score (out-off 10): 7.0

",SCORE: (4/10),7984,7
18,"Overall Score (out-off 10): 7.0

",SCORE: (6/10),7523,7
19,"Overall Score (out-off 10): 8.0

",SCORE: 7/10,7726,6
20,"Overall Score (out-off 10): 7.0

",SCORE: 8/10,8676,6
21,"Overall Score (out-off 10): 6.0

",SCORE: 8/10,8354,6
22,"Overall Score (out-off 10): 6.0

",SCORE: (8/10),8710,7
23,"Overall Score (out-off 10): 4.0

",SCORE: (7/10),8513,7
24,"Overall Score (out-off 10): 3.0

",SCORE: (7/10),8489,7
25,"Overall Score (out-off 10): 5.0

",8/10,7506,3
26,"Overall Score (out-off 10): 6.0

",SCORE: (4/10),7561,7
27,"Overall Score (out-off 10): 6.0

",SCORE: 7/10,7774,6
28,"Overall Score (out-off 10): 6.0

",SCORE: 6/10,8694,6
29,"Overall Score (out-off 10): 7.3

",SCORE: (7/10),11618,7
30,"Overall Score (out-off 10): 7.5

",SCORE: (6/10),10351,7
31,"Overall Score (out-off 10): 6.0

",SCORE: (5/10),9972,7
32,"Overall Score (out-off 10): 7.0

",SCORE: (6/10),8202,7
33,"Overall Score (out-off 10): 7.0

",SCORE: 7/10,9874,6
